Name,Address,RATING,CURRENT,RISK
Scooter Dogs Inc.,1502 S 60th St,EXCELLENT,9/12/2018,MEDIUM
Scooter's,16804 Decatur St,STANDARD,1/11/2019,MEDIUM
Scooters,2812 S 108th ST,EXCELLENT,6/6/2018,MEDIUM
Scooters,8459 W Center RD,EXCELLENT,6/12/2018,MEDIUM
Scooters,111 N 78th ST,STANDARD,8/21/2018,MEDIUM
Scooter's,17151 Davenport St #107,EXCELLENT,1/16/2019,MEDIUM
Scooter's,4259 S 144th ST,EXCELLENT,7/16/2018,MEDIUM
Scooters Coffee,3206 N 90 St,STANDARD,,MEDIUM
Scooters Coffee,304 N 179 ST STE 201,STANDARD,9/11/2018,MEDIUM
Scooters Coffee,1515 S 204th ST S101,EXCELLENT,10/23/2018,MEDIUM
Scooter's Coffee,2928 Ames Ave,EXCELLENT,12/4/2018,MEDIUM
Scooter's Coffee,5502 S 84th ST,EXCELLENT,12/12/2018,MEDIUM
Scooter's Coffee,310 N 168th CIR,EXCELLENT,12/14/2018,MEDIUM
Scooter's Coffee,5929 F St,EXCELLENT,7/10/2018,MEDIUM
Scooter's Coffee,8401 F ST STE 3,EXCELLENT,7/20/2018,MEDIUM
Scooter's Coffee,15655 Pacific ST,EXCELLENT,1/22/2018,LOW
Scooter's Coffee,4040 N 72nd ST,EXCELLENT,8/24/2018,MEDIUM
Scooter's Coffee #246,8996 L St,EXCELLENT,10/2/2018,MEDIUM
Scooters Coffee & Yogurt,6303 Center ST,EXCELLENT,10/17/2018,MEDIUM
Scooter's Coffee & Yogurt, 3001 S 144th St  Ste K-1 ,EXCELLENT,6/29/2018,MEDIUM
Scooters Coffee House,7149 Dodge ST,STANDARD,12/20/2018,MEDIUM
Scooters Coffee House,17530 Wright ST,STANDARD,3/1/2018,MEDIUM
Scooters Coffee House,15805 Maple ST,EXCELLENT,10/1/2018,MEDIUM
Scooters Coffee House,5405 S 72nd ST,EXCELLENT,11/21/2018,MEDIUM
Scooter's Coffee House,2815 S 132nd ST,EXCELLENT,1/24/2018,MEDIUM
Scooter's Coffee House,10196 Maple ST,EXCELLENT,2/5/2018,MEDIUM
Scooter's Coffee House,5011 S 108th ST,EXCELLENT,3/20/2018,MEDIUM
Scooter's Coffee House,11975 Blondo ST,EXCELLENT,3/21/2018,MEDIUM
Scooter's Coffee House,10000 California ST,EXCELLENT,9/29/2017,LOW
Scooter's Coffee House,17935 Welch Plaza,EXCELLENT,4/17/2018,MEDIUM
Scooter's Coffee House,10309 Pacific ST,STANDARD,2/20/2018,LOW
Scooter's Coffee House,13951 S Plaza,STANDARD,10/11/2018,MEDIUM
Scooter's Coffee House,9229 Mormon Bridge Plz #1,EXCELLENT,5/1/2018,LOW
Scooter's Coffee House of Elkhorn,1119 N 204th AVE STE 103,EXCELLENT,9/25/2018,MEDIUM
Scooters Coffeehouse,3703 N 144th ST,EXCELLENT,12/13/2018,LOW
Scooters Coffeehouse,2220 N 90th ST,EXCELLENT,7/17/2018,MEDIUM
Scooters Coffeehouse,14501 W Center RD,EXCELLENT,8/8/2018,MEDIUM
Scooter's Coffeehouse,5233 S 96th ST,STANDARD,1/3/2019,MEDIUM
Scooter's Coffeehouse,1123 Howard ST,EXCELLENT,1/9/2019,MEDIUM
Scooter's Coffeehouse,11901 Fort ST,EXCELLENT,4/30/2018,MEDIUM
